,artist,title,text
257,Grease , You're The One That I Want,"I got chills, they're multiplying And I'm losing control 'Cause the power, you're supplying It's electrifyingYou better shape up, 'cause I need a man And my heart is set on you You better shape up, you better understand To my heart I must be true Nothing left, nothing left for me to doYou're the one that I want (You are the one I want) Ho, ho, ho honeyYou're the one that I want (You are the one I want) Ho, ho, ho honeyYou're the one that I want (You are the one I want) Ho, ho, ho, the one that I need Oh yes indeedIf you're filled with affection You're too shy to convey Meditate in my direction Feel your wayI better shape up, 'cause you need a man I need a man who can keep me satisfied I better shape up, if I'm gonna prove You better prove that my faith is justified Are you sure? Yes I'm sure down deep insideYou're the one that I want (You are the one I want) Ho, ho, ho honeyYou're the one that I want (You are the one I want) Ho, ho, ho honeyYou're the one that I want (You are the one I want) Ho, ho, ho, the one that I need Oh yes indeedYou're the one that I want (You are the one I want) Ho, ho, ho honeyYou're the one that I want (You are the one I want) Ho, ho, ho honeyYou're the one that I want (You are the one I want) Ho, ho, ho, the one that I need Oh yes indeedYou're the one that I want (You are the one I want) Ho, ho, ho honey You're the one that I want (You are the one I want) Ho, ho, ho honey You're the one that I want (You are the one I want) Ho, ho, ho, the one that I need Oh yes indeed You're the one that I want (You are the one I want) Ho, ho, ho honey You're the one that I want"
258,Neha Kakkar , DILBAR,Dilbar dilbar...Chadha jo mujhpe suroor hai Asar tera yeh zaroor hai Teri nazar ka kasoor haiDilbar dilbar...Aa paas aa tu kyun door hai Yeh ishq ka jo fitoor hai Nashe mein dil tere choor haiDilbar dilbar...Ab toh hosh na khabar hai Yeh kaisa asar hai Hosh na khabar hai Yeh kaisa asar hai Tumse milne ke baad dilbar Tumse milne ke baad dilbarDilbar dilbar... dilbar dilbar... Dilbar dilbar... dilbar dilbar...[Ikka Rap] Karti qatal na aise tu chal Paheli ka iss nikalo koi hal Husan ka pitara khilta kamal Kar loonga sabar kyunki meetha hai phalTu mera khaab hai Tu mere dil ka qaraar Dekh le jaan-e-mann Dekh le bas ek baar...Chain kho gaya hai Kuch toh ho gaya hai Chain kho gaya hai Kuch toh ho gaya hai Tumse milne ke baad dilbar Tumse milne ke baad dilbarDilbar dilbar...
259,Edith Piaf , La Vie En Rose,"Des yeux qui font baisser les miens Un rire qui se perd sur sa bouche Voila le portrait sans retouche De l'homme auquel j'appartiensQuand il me prend dans ses bras Qu'il me parle tout bas Je vois la vie en rose.Il me dit des mots d'amour Des mots de tous les jours Et ça me fait quelque chose.Il est entré dans mon coeur Une part de bonheur Dont je connais la cause.C'est lui pour moi. Moi pour lui dans la vie Il me l'a dit, l'a juré pour la vie. Et dès que je l'aperçoisAlors je sens en moi Mon coeur qui bat Des nuits d'amour a plus finirUn grand bonheur qui prend sa place Des enuis des chagrins, s'effacent Heureux, heureux a en mourir. Quand il me prend dans ses brasIl me parle tout bas Je vois la vie en rose. Il me dit des mots d'amourDes mots de tous les jours Et ça me fait quelque chose. Il est entré dans mon coeur Une part de bonheur Dont je connais la cause. C'est toi pour moi. Moi pour toi dans la vie Il me l'a dit, l'a juré pour la vieuuuh. Et dès que je t'aperçois Alors je sens en moi Mon coeur qui bat"
260,Adele , Someone Like You,"I heard that you're settled down That you found a girl and you're married now I heard that your dreams came true Guess she gave you things I didn't give to you Old friend, why are you so shy? Ain't like you to hold back or hide from the lightI hate to turn up out of the blue, uninvited But I couldn't stay away, I couldn't fight it I had hoped you'd see my face And that you'd be reminded that, for me, it isn't overNever mind, I'll find someone like you I wish nothing but the best for you two Don't forget me, I beg I'll remember you said Sometimes it lasts in love, but sometimes it hurts instead Sometimes it lasts in love, but sometimes it hurts instead, yeahYou know how the time flies Only yesterday was the time of our lives We were born and raised in a summer haze Bound by the surprise of our glory daysI hate to turn up out of the blue, uninvited But I couldn't stay away, I couldn't fight it I had hoped you'd see my face And that you'd be reminded that, for me, it isn't overNever mind, I'll find someone like you I wish nothing but the best for you two Don't forget me, I beg I'll remember you said Sometimes it lasts in love, but sometimes it hurts insteadNothing compares, no worries or cares Regrets and mistakes, they're memories made Who would have known how bittersweet this would taste?Never mind, I'll find someone like you I wish nothing but the best for you Don't forget me, I beg I'll remember you said Sometimes it lasts in love, but sometimes it hurts insteadNever mind, I'll find someone like you I wish nothing but the best for you two Don't forget me, I beg I'll remember you said Sometimes it lasts in love, but sometimes it hurts instead Sometimes it lasts in love, but sometimes it hurts instead, yeah, yeah"
261,The National Anthem of Canada , O Canada,"English versionO Canada! Our home and native land! True patriot love in all of us command. With glowing hearts we see thee rise, The True North strong and free! From far and wide, O Canada, we stand on guard for thee. God keep our land glorious and free! O Canada, we stand on guard for thee. O Canada, we stand on guard for thee.French versionO Canada! Terre de nos aïeux, Ton front est ceint de fleurons glorieux! Car ton bras sait porter l'épée, Il sait porter la croix! Ton histoire est une épopée Des plus brillants exploits. Et ta valeur, de foi trempée, Protégera nos foyers et nos droits. Protégera nos foyers et nos droits.Bilingual versionO Canada! Our home and native land! True patriot love in all of us command, Car ton bras sait porter l'épée, Il sait porter la croix! Ton histoire est une épopée Des plus brillants exploits, God keep our land glorious and free! O Canada, we stand on guard for thee. O Canada, we stand on guard for thee."
262,Pav Dharia , Na Ja,"Ni kudiye tu alright Aaja ni re I won't bite Lage tu mainu sexy Tahin main jaaga all nightKarave ni tu murder Oh bhaven hove daylight Jhakaas teri body I fell in love at first sightKunwariya ton sohni ae te main vi aa kunwara Chadh di jawani hunn lutt le nazara Je na mainu karti ni puchna dobara Fer rotiyan pakayi naale mere gaane gayiNa ja, na ja. na ja mitran ton door Ambran ton aayi tu lagdi ae hoor Att tera nakhra tera ki kasoor Mainu vi pasand tu kardi zaroorNa ja, na ja. na ja mitran ton doorAmbran ton aayi tu lagdi ae hoor Att tera nakhra tera ki kasoor Mainu vi pasand tu kardi zaroor Na ja, na ja, na ja......Sohni badi lagdi ae Jad kurti bhaven kale rang di Thoda jeha mere nede aa kar Utte ae lagda nazre sab diLakk tera hil da ae Jeve paani de vich hil di supni Tu ajj mainu roki na Tere kolon haan kara ke chadh niKunwariya ton sohni ae te main vi aa kunwara Chadh di jawani hunn lutt le nazara Je na mainu karti ni puchna dobara Fer rotiyan pakayi naale mere gaane gayiNa ja, na ja. na ja mitran ton door Ambran ton aayi tu lagdi ae hoor Att tera nakhra tera ki kasoor Mainu vi pasand tu kardi zaroor Na ja, na ja. na ja mitran ton door Ambran ton aayi tu lagdi ae hoor Att tera nakhra tera ki kasoorMainu vi pasand tu kardi zaroor Girl you look so good Teri aa nigahwan mainu maar sutteya ae When you walk my wayTeri aa adawaan mera dil luteya ae When shake them heels Tere piche ladke main chadh de saare Make me crazy.You talk and I. I like how you talk Mesmerize by you I don't want you to stop Baby just tell them you writing for me Give you the word I won't .Take you to paris I'll take you to London hotel food you could in Play back your drinks baby i can just fund in Long as you with me you'll live in abendance Kunwariya ton sohni ae te main vi aa kunwara Chadh di jawani hunn lutt le nazara Je na mainu karti ni puchna dobara Fer rotiyan pakayi naale mere gaane gayi Na ja, na ja. na ja mitran ton door Ambran ton aayi tu lagdi ae hoor Att tera nakhra tera ki kasoor Mainu vi pasand tu kardi zaroor Na ja, na ja. na ja mitran ton door Ambran ton aayi tu lagdi ae hoor Att tera nakhra tera ki kasoor Mainu vi pasand tu kardi zaroor"
263,Annie , Tomorrow,"The sun will come out Tomorrow Bet your bottom dollar That tomorrow There'll be sun!Just thinking about Tomorrow Clears away the cobwebs, And the sorrow 'Til there's none!When I'm stuck in a day That's gray, And lonely, I just stick out my chin And Grin, And Say, OhThe sun will come out Tomorrow So ya gotta hang on 'Til tomorrow Come what mayTomorrow! Tomorrow! I love ya Tomorrow!You're always a day awayWhen I'm stuck in a day That's gray, And lonely, I just stick out my chin And Grin, And Say, OhTomorrow! Tomorrow! I love ya Tomorrow!You're always A day A way!"
264,ARASH , Broken Angel,"I'm so lonely broken angel, I'm so lonely, listen to my heart.Man, dooset daram, Be cheshme man, gerye nade. Na, nemitoonam, Bedoone to, halam bade.I'm so lonely broken angel... I'm so lonely, listen to my heart... One n' lonley, broken angel... Come n' save me, before I fall apart...To harja ke bashi, kenaretam, Ta akharesh, divoonatam. To, to nemidooni, ke joonami, Bargard pisham.I'm so lonely broken angel, I'm so lonely, listen to my heart. One n' lonley, broken angel, Come n' save me, before I fall apart.La ... la ... leyli ... La ... la ... leyli ... La ... la ... la ... la ... laaa ... La ... la ... leyli ... La ... la ... leyli ... La ... la ... la ... la ... laaa ...Aaa ... aaa ... aaa ... aaa ...I'm so lonely broken angel, I'm so lonely, listen to my heart. One n' lonley, broken angel, Come n' save me, before I fall apart.I'm so lonely broken angel, I'm so lonely, listen to my heart. One n' lonley, broken angel, Come n' save me, before I fall apart.La ... la ... leyli ... La ... la ... leyli ... La ... la ... la ... la ... laaa ... La ... la ... leyli ... La ... la ... leyli ... La ... la ... la ... la ... laaa ... ♡♡♡"
265,National Anthem Orchestra , Jana Gana Mana,"Stanza 1 (National Anthem of India) Jana Gana Mana Adhinaayak Jaya Hey, Bhaarat Bhaagya Vidhaataa Panjaab Sindhu Gujarat Maraatha, Draavid Utkal Banga Vindhya Himaachal Yamuna Ganga, Uchchhal Jaladhi Taranga Tav Shubh Naamey Jaagey, Tav Shubh Aashish Maange Gaahey Tav Jayagaathaa Jana Gana Mangal Daayak, Jaya Hey Bhaarat Bhaagya Vidhaataa Jaya Hey, Jaya Hey, Jaya Hey, Jaya Jaya Jaya, Jaya HeyStanza 2 (National Anthem of India) Ohoroha Toba Aahbaana Prachaarita, Suni Tab Udaar Vaani Hindu Bauddh Shikha Jain, Parasik Musolman Christaani Purab Pashchim Aashey, Tab Singhaasana Paashey Premohaara Hawye Gaanthaa Jana Gana Oikya Vidhaayak Jaya Hey, Bhaarat Bhaagya Vidhaataa Jaya Hey, Jaya Hey, Jaya Hey, Jaya Jaya Jaya, Jaya HeyStanza 3 (National Anthem of India) Potona Abhbhudaya Bandhura Pantha, Yug Yug Dhaabit Yaatri Hey Chir Saarathi, Tab Ratha Chakrey Mukharit Patha Din Raatri Daarun Viplab Maajhey, Tab Shankh dhwani Bajey Sankat Dukh Trata Jana Gana Path Parichaayak, Jaya Hey Bhaarat Bhaagya Vidhaataa Jayo Hey, Jayo Hey, Jayo Hey, Jayo Jayo Jayo, Jayo HeyStanza 4 (National Anthem of India) Ghor Timir Ghan Nibiro, Nishithey Peedit Murchhit Deshey Jagrat Chhil Tab Abichal Mangal, Nato Nayan Animeshey Duswapney Aatankey, Raksha Kariey Ankey Snehamayi Tumi Mata Jana Gana Duhkh Trayak, Jaya Hey Bharat Bhagya Vidhaataa Jaya Hey, Jaya Hey, Jaya Hey, Jaya Jaya Jaya, Jaya HeyStanza 5 (National Anthem of India) Raatri Prabhatil Udil Ravichhabi, Purb Uday Giri Bhaaley Gaahey Vihangam Punya Sumiran, Nav Jeevan Rash Dhaley Tab Karunaarun Raage, Nidrit Bhaarat Jagey Tab Charane Nat Maatha Jaya Jaya JayA Hey, Jaya Rajeshwar, Bhaarat Bhaagya Vidhaataa Jaya Hey, Jaya Hey, Jaya Hey, Jaya Jaya Jaya, Jaya Heyজন গণ মন (Bengali)Bengali romanisationजन गण मन (devnagari)1. জনগণমন-অধিনায়ক জয় হে ভারতভাগ্যবিধাতা! পঞ্জাব সিন্ধু গুজরাট মরাঠা দ্রাবিড় উত্কল বঙ্গ বিন্ধ্য হিমাচল যমুনা গঙ্গা উচ্ছলজলধিতরঙ্গ তব শুভ নামে জাগে, তব শুভ আশিষ মাগে, গাহে তব জয়গাথা। জনগণমঙ্গলদায়ক জয় হে ভারতভাগ্যবিধাতা! জয় হে, জয় হে, জয় হে, জয় জয় জয় জয় হে॥2. অহরহ তব আহ্বান প্রচারিত, শুনি তব উদার বাণী হিন্দু বৌদ্ধ শিখ জৈন পারসিক মুসলমান খৃস্টানী পূরব পশ্চিম আসে তব সিংহাসন-পাশে প্রেমহার হয় গাঁথা। জনগণ-ঐক্য-বিধায়ক জয় হে ভারতভাগ্যবিধাতা! জয় হে, জয় হে, জয় হে, জয় জয় জয় জয় হে॥3. পতন-অভ্যুদয়-বন্ধুর পন্থা, যুগ যুগ ধাবিত যাত্রী। হে চিরসারথি, তব রথচক্রে মুখরিত পথ দিনরাত্রি। দারুণ বিপ্লব-মাঝে তব শঙ্খধ্বনি বাজে সঙ্কটদুঃখত্রাতা। জনগণপথপরিচায়ক জয় হে ভারতভাগ্যবিধাতা! জয় হে, জয় হে, জয় হে, জয় জয় জয় জয় হে॥4. ঘোরতিমিরঘন নিবিড় নিশীথে পীড়িত মূর্ছিত দেশে জাগ্রত ছিল তব অবিচল মঙ্গল নতনয়নে অনিমেষে। দুঃস্বপ্নে আতঙ্কে রক্ষা করিলে অঙ্কে স্নেহময়ী তুমি মাতা। জনগণদুঃখত্রায়ক জয় হে ভারতভাগ্যবিধাতা! জয় হে, জয় হে, জয় হে, জয় জয় জয় জয় হে॥5. রাত্রি প্রভাতিল, উদিল রবিচ্ছবি পূর্ব-উদয়গিরিভালে - গাহে বিহঙ্গম, পূণ্য সমীরণ নবজীবনরস ঢালে। তব করুণারুণরাগে নিদ্রিত ভারত জাগে তব চরণে নত মাথা। জয় জয় জয় হে জয় রাজেশ্বর ভারতভাগ্যবিধাতা! জয় হে, জয় হে, জয় হে, জয় জয় জয় জয় হে॥जन गण मन (devnagari)जन गण मन अधिनायक जय हे, भारत भाग्य विधाता। पंजाब सिंधु गुजरात मराठा, द्रविड़ उत्कल बंग। विंध्य हिमाचल यमुना गंगा, उच्छल जलधि तरंग। तव शुभ नामे जागे, तव शुभ आशीष मागे। गाहे तव जयगाथा। जन गण मंगलदायक जय हे, भारत भाग्य विधाता। जय हे, जय हे, जय हे, जय जय जय जय हे॥English:Thou art the ruler of the minds of all people, Dispenser of India's destiny. Thy name rouses the hearts of the Punjab, Sind, Gujarat, and Maratha, Of the Dravid, and Orissa and Bengal. It echoes in the hills of Vindhyas and, Himalayas, mingles in the music of the Jamuna and the Ganges and is chanted by the waves of the Indian sea. The pray for the blessings, and sing by the praise, The saving of all people waits in thy hand. Thou dispenser of India's destiny, Victory, victory, victory to thee."
266,Christmas Song , 12 Days of Christmas,On the first day of Christmas my true love sent to me: A Partridge in a Pear TreeOn the second day of Christmas my true love sent to me: Two Turtle Doves and a Partridge in a Pear TreeOn the third day of Christmas my true love sent to me: Three French Hens Two Turtle Doves and a Partridge in a Pear TreeOn the fourth day of Christmas my true love sent to me: Four Calling Birds Three French Hens Two Turtle Doves and a Partridge in a Pear TreeOn the fifth day of Christmas my true love sent to me: Five Golden Rings Four Calling Birds Three French Hens Two Turtle Doves and a Partridge in a Pear TreeOn the sixth day of Christmas my true love sent to me: Six Geese a Laying Five Golden Rings Four Calling Birds Three French Hens Two Turtle Doves and a Partridge in a Pear TreeOn the seventh day of Christmas my true love sent to me: Seven Swans a Swimming Six Geese a Laying Five Golden Rings Four Calling Birds Three French Hens Two Turtle Doves and a Partridge in a Pear TreeOn the eighth day of Christmas my true love sent to me: Eight Maids a Milking Seven Swans a Swimming Six Geese a Laying Five Golden Rings Four Calling Birds Three French Hens Two Turtle Doves and a Partridge in a Pear TreeOn the ninth day of Christmas my true love sent to me: Nine Ladies Dancing Eight Maids a Milking Seven Swans a Swimming Six Geese a Laying Five Golden Rings Four Calling Birds Three French Hens Two Turtle Doves and a Partridge in a Pear TreeOn the tenth day of Christmas my true love sent to me: Ten Lords a Leaping Nine Ladies Dancing Eight Maids a Milking Seven Swans a Swimming Six Geese a Laying Five Golden Rings Four Calling Birds Three French Hens Two Turtle Doves and a Partridge in a Pear TreeOn the eleventh day of Christmas my true love sent to me: Eleven Pipers Piping Ten Lords a Leaping Nine Ladies Dancing Eight Maids a Milking Seven Swans a Swimming Six Geese a Laying Five Golden Rings Four Calling Birds Three French Hens Two Turtle Doves and a Partridge in a Pear TreeOn the twelfth day of Christmas my true love sent to me: 12 Drummers Drumming Eleven Pipers Piping Ten Lords a Leaping Nine Ladies Dancing Eight Maids a Milking Seven Swans a Swimming Six Geese a Laying Five Golden Rings Four Calling Birds Three French Hens Two Turtle Doves and a Partridge in a Pear Tree
267,Ed Sheeran , Shape of You,"The club isn't the best place to find a lover So the bar is where I go Me and my friends at the table doing shots Drinking fast, and then we talk slowAnd you come over and start up a conversation with just me And trust me, I'll give it a chance now Take my hand, stop Put ""Van the Man"" on the jukebox And then we start to dance And now I'm singing likeGirl, you know I want your love Your love was handmade for somebody like me Come on now, follow my lead I may be crazy, don't mind meSay: ""Boy, let's not talk too much Grab on my waist and put that body on me"" Come on now, follow my lead Come, come on now, follow my leadI'm in love with the shape of you We push and pull like a magnet do Although my heart is falling too I'm in love with your body Last night you were in my room And now my bed sheets smell like you Every day discovering something brand newOh, I'm in love with your body Oh-i-oh-i-oh-i-oh-i Oh, I'm in love with your body Oh-i-oh-i-oh-i-oh-i Oh, I'm in love with your body Oh-i-oh-i-oh-i-oh-i Oh, I'm in love with your body Every day discovering something brand new I'm in love with the shape of youOne week in we let the story begin We're going out on our first date But you and me are thrifty So go all-you-can-eat Fill up your bag, and I fill up a plateWe talk for hours and hours about the sweet and the sour And how your family is doing okay And leave and get in a taxi, then kiss in the back seat Tell the driver make the radio play And now I'm singing likeGirl, you know I want your love Your love was handmade for somebody like me Come on now, follow my lead I may be crazy, don't mind meSay: ""Boy, let's not talk too much Grab on my waist and put that body on me"" Come on now, follow my lead Come, come on now, follow my leadI'm in love with the shape of you We push and pull like a magnet do Although my heart is falling too I'm in love with your body Last night you were in my room And now my bed sheets smell like you Every day discovering something brand newOh, I'm in love with your body Oh-i-oh-i-oh-i-oh-i Oh, I'm in love with your body Oh-i-oh-i-oh-i-oh-i Oh, I'm in love with your body Oh-i-oh-i-oh-i-oh-i Oh, I'm in love with your body Every day discovering something brand new I'm in love with the shape of youCome on, be my baby, come on Come on, be my baby, come on Come on, be my baby, come on Come on, be my baby, come on Come on, be my baby, come on Come on, be my baby, come on Come on, be my baby, come on Come on, be my baby, come onI'm in love with the shape of you We push and pull like a magnet do Although my heart is falling too I'm in love with your body Last night you were in my room And now my bed sheets smell like you Every day discovering something brand newOh, I'm in love with your body Come on, be my baby, come on (Come on, be my baby, come on) I'm in love with your body Come on, be my baby, come on (Come on, be my baby, come on) Oh, I'm in love with your body Come on, be my baby, come on (Come on, be my baby, come on) I'm in love with your body Every day discovering something brand new I'm in love with the shape of you"
268,SONU NIGAM , Kal Ho Naa Ho,Edited by hadiehama92 > > > Har ghadi badal rahi hai roop zindagi Chaanv hai kabhi kabhi hai dhoop zindagi Har pal yahan jee bhar jiyo Jo hai samaa kal ho naa ho Har ghadi badal rahi hai roop zindagi Chaanv hai kabhi kabhi hai dhoop zindagi Har pal yahan jee bhar jiyo Jo hai samaa kal ho naa ho- - - - - - Chaahe jo tumhe poore dil se Milta hai woh mushkil se Aisa jo koi kahin hai Bas wohi sabse hasin hai Uss haath ko tum thaam lo Woh meherbaan kal ho naa ho Har pal yahaan jee bhar jiyoJo hai samaa kal ho naa ho- - - - - - Palko ke leke saaye Paas koi jo aaye Lakh sambhalo paagal dil koDil dhadke hi jaaye Par soch lo is pal hai joWoh daastan kal ho naa ho Har ghadi badal rahi hai roop zindagi Chaanv hai kabhi kabhi hai dhoop zindagi Har pal yahan jee bhar jiyo Jo hai samaa kal ho naa ho Har pal yahan jee bhar jiyo Jo hai samaa kal ho naa ho - - - - - - Jo hai samaa kal ho na ho
269,Guru Randhawa , Fashion,Ik gora rang dooja rave fashion'aa ch Utton nakhre di kari jaave att ni Maarte vypaar ni tu husn khalaar Ni tu business kar ditte thap niTeri walk teri talk badi grand Walk teri talk badi grandTu niri fashion kudiye Tenu vekh vekh chalde ne brand Tu niri fashion kudiye Tenu vekh vekh chalde ne brand Tu niri.Gucci wale tainu haye labhde ne firde Prada wale karde tweet ni Singer vi saare hoge tere ne deewane Teri beauty utte likhde ne geet niTu producer'aa de lutt laye ne chain Producer'aa de lutt laye ne chainTu niri fashion kudiye Tenu vekh vekh chalde ne brand Tu niri fashion kudiye Tenu vekh vekh chalde ne brand Tu niri.Jidan tu maari Bollywood vich entry Saare ne record jaane tutt ni Rehndiyan ne sadhdiyan vicho vich dardiyan Offer'aa na jaan kitte chutt niJidan tu maari Bollywood vich entry Saare ne record jaane tutt ni Rehndiyan ne sadhdiyan vicho vich dardiyan Offer'aa na jaan kitte chutt niTu baja gayi ae Guru da vi band Tu baja gayi ae mittran da bandTu niri fashion kudiye Tenu vekh vekh chalde ne brand Tu niri fashion kudiye Tenu vekh vekh chalde ne brand Tu niri.
270,Silent Sanctuary , Kundiman,Para kang asukalSintamis mong magmahalPara kang pinturaBuhay ko ikaw ang nagpintaPara kang unanPinapainit mo ang aking tiyanPara kang kumotNa yumayakap sa tuwing ako'y nalulungkotKaya't wag magtatakaKung bakit ayaw kitang mawalaKung hindi man tayo hanggang duloWag mong kalimutanNandito lang akoLaging umaalalayHindi ako lalayoDahil ang tanging panalangin ko ay ikawDi baleng maghapon mang umulanBasta't ikaw ang sasandalanLiwanag ng lumulubog na arawKay sarap pagmasdanLalo na kapag nasisinagan ang iyong mukhaAyoko nang magsawaHinding hindi magsasawa sa iyoKaya't wag magtatakaKung bakit ayaw kitang mawalaKung hindi man tayo hanggang dulo Wag mong kalimutan Nandito lang ako Laging umaalalay Hindi ako lalayo Dahil ang tanging panalangin ko Bahala na ayoko muna magsalita Hayaan na muna natin Ang daloy ng tadhana Kung hindi man tayo hanggang dulo Wag mong kalimutan Nandito lang ako Laging umaalalay Hindi ako lalayo Kung hindi man tayo hanggang dulo Wag mong kalimutan Nandito lang ako Laging umaalalay Hindi ako lalayo Dahil ang tanging panalangin Dahil ang tanging panalangin Ay ikaw Ay ikaw Ay ikaw Ay ikaw
271,Jimmy Buffett , If you like pina coladas,"I was tired of my lady We've been together too long Like a worn out recording Of a favorite song So while she laid there sleepin' I red the paper in bed And in the personal columns There was this letter I red If you like piña coladas and getting cought in the rain If you're not into yoga if you haf half a brain If you like making love at midnight in the dunes of a cape I'm the love that you looked for write to me and escape ... I didn't think about my lady I know that sounds kinda mean but me and my old lady have fallen into the same old routine so I wrote to the paper took out a personal add and thoug I'm nobody's poet I thought it wasn't half bad Yes I like piña coladas and getting cought in the rain I'm not much into health food I am into champange I've got to get you by tomorrow and cut thru all this red tape at a bar ... where we plan our escape ... So I waited with high hopes and she walked in the place I knew her smile in an instant I knew the curve of her face it was my old lovely lady and she said ""oh it's you"" then we laughed for a moment and I said I neve knew that you like piña coladas and getting cought in the rain and the feel of the ocean and the taste of champange if you like making love at midnoghts in the dunes of a cape you're the lady I looked for come with me and escape If you like piña coladas and getting cought in the rain if you're not into yoga if you have half a brain if you like making love at midnights in the dunes of a cape I'm the love that you lookes for."
272,SUD , Sila,"Matagal tagal din Nawalan ng gana Pinagmamasdan ang dumaraan Lagi na lang matigas Ang loob Sabik na may maramdamanDi ka man bago sa paningin Palihim kang nasa yakap ko't lambing Sa bawat pagtago Di mapigilan ang bigkas ng damdaminWalang sagot sa tanong Kung bakit ka mahalaga Walang papantay sa'yo Walang sagot sa tanong Kung bakit ka mahalaga Walang papantay sa'yoKung may darating man na umaga Gusto kita sana muling marinig, marinig Ngiti mo lang Ang nakikita ko Tauhin man ang silidWalang papantay sa'yo Maging sino man sila Ikaw ang araw sa tag-ulan At sa maulap kong umagaWalang sagot sa tanong Kung bakit ka mahalaga Walang papantay sa'yo Walang sagot sa tanong Kung bakit ka mahalaga Walang papantay sa'yo Maging sino man silaWalang papantay sa'yo Walang sagot sa tanong Kung bakit ka mahalaga Maging sino man sila Walang papantay sa'yo Walang papantay sa'yo Maging sino man sila Walang papantay sa'yo Maging sino man sila Walang papantay sa'yo Maging sino man sila"
273,Happy Birthday , Happy Birthday,"Happy Birthday to You Happy Birthday to You Happy Birthday, Happy Birthday Happy Birthday to YouOne more candle to light On your birthday cake Hope your wishes all come true Now let's celebrate"
274,ABBA , Angel Eyes,"Ah-ha-ha, ah-aah Ah-ha-ha, ah-aah Ah-ha-ha Keep thinking 'bout his angel eyes I keep thinking, a-aahLast night I was taking a walk along the river And I saw him together with a young girl And the look that he gave her made me shiver 'Cause he always used to look at me that way Then I thought maybe I should walk right up to her And say, ""Ah-ha-ha, it's a game he likes to play""Look into his angel eyes One look and you're hypnotized He'll take your heart And you must pay the priceLook into his angel eyes You'll think you're in paradise And one day you'll find out he wears a disguise Don't look too deep into those angel eyes Oh, no, no, no, noAh-ha-ha, ah-aah Ah-ha-ha, ah-aah Ah-ha-ha Keep thinking 'bout his angel eyes I keep thinking, a-aahSometimes when I'm lonely I sit and think about him And it hurts to remember all the good times When I thought I could never live without him And I wonder does it have to be the same Every time when I see him, will it bring back all the pain? Ah-ha-ha, how can I forget that name?Look into his angel eyes One look and you're hypnotized He'll take your heart And you must pay the priceLook into his angel eyes You'll think you're in paradise And one day you'll find out he wears a disguise Don't look too deep into those angel eyesCrazy 'bout his angel eyes, angel eyes He took my heart and now I pay the price Look into his angel eyes You'll think you're in paradise Then one day you'll find out he wears a disguise Don't look too deep into those angel eyes Oh, no no, no, noAh-ha-ha, ah-aah Ah-ha-ha, ah-aah Ah-ha-ha, keep thinking, ah-aah Keep thinking 'bout his angel eyes Ah-ha-ha, keep thinking, ah-aah Keep thinking, I had to pay the priceKeep thinking, ah-aah Keep thinking 'bout his angel eyes Ah-ha-ha, keep thinking, ah-aah Keep thinking, I had to pay the price"
275,Mahmut Orhan , 6 Days,"At the starting of the week At summit talks, you'll hear them speak It's only Monday. (Mahmut Orhan - 6 days)Negotiations breaking down See those leaders start to frown It's sword and gun day.Tomorrow never comes until it's too late.You could be sitting taking lunch The news will hit you like a punch It's only Tuesday. You never thought we'd go to war After all the things we saw Versuri-lyrics.info It's April Fools day.Tomorrow never comes until it's too late.We'll all go running underground And we'll be listening for the sound It's only Wednesday.In your shelter, dimly lit, Take some wool and learn to knit 'Cause it's a long day.Tomorrow never comes until it's too late.You'll hear a whistling overhead Are you alive or are you dead? It's only Thursday.You feel the shaking of the ground A million candles burn around Is it your birthday?Tomorrow never comes until it's too late.Although that shelter is your home Correction: A living space you have outgrown It's only Friday.As you come out to the light, Can your eyes behold the sight? It must be Doomsday!Tomorrow never comes until it's too late.Ain't it funny how men think They made the bomb, they are extinct It's only Saturday.I think tomorrow's come, I think it's too late I think tomorrow's come, I think it's too late Think tomorrow's come, I think it's too lateee."
